filename,umap_3d_kmeans,tsne_3d_kmeans,pca_3d_kmeans,pca_256D_kmeans,umap_3d_hdbscan,tsne_3d_hdbscan,umap_3d_silhouette,tsne_3d_silhouette,pca_3d_hdbscan,pca_256D_hdbscan,umap_20d_hdbscan,tsne_20d_hdbscan,ToReview,Prediction,ReviewReason,ReviewCluster
channelA_2025-05-16_17-21-08.wav,21,,19,12,5,,3,,0,1,5,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-21-13.wav,21,,21,10,5,,3,,0,1,5,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-21-18.wav,21,,7,10,5,,3,,0,1,5,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-21-23.wav,21,,20,0,5,,3,,25,1,5,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-21-28.wav,21,,19,0,5,,3,,0,1,5,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-21-33.wav,21,,19,0,5,,3,,25,1,5,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-21-38.wav,21,,19,14,5,,3,,25,1,5,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-21-43.wav,21,,19,0,5,,3,,25,1,5,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-21-48.wav,21,,19,0,5,,3,,0,1,5,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-21-53.wav,21,,19,0,5,,3,,0,1,5,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-21-58.wav,21,7,19,0,5,0,3,1,0,1,5,0,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-22-03.wav,21,,20,0,5,,3,,25,1,5,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-22-08.wav,21,7,19,0,5,0,3,1,0,1,5,0,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-22-13.wav,21,,19,0,5,,3,,25,1,5,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-22-18.wav,21,,19,0,5,,3,,25,1,5,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-22-23.wav,21,,19,0,5,,3,,25,1,5,,True,,umap_3d_kmeans,21
